Virus name	Accession ID	Collection date	Location	travel	excluded	followed up	baseline surveillance
hCoV-19/France/ARA-HCL021111664001/2021	EPI_ISL_2676744	2021-06-14	Europe / France / Auvergne-Rhone-Alpes / CLUSES				
hCoV-19/France/ARA-HCL021111668101/2021	EPI_ISL_2676746	2021-06-14	Europe / France / Auvergne-Rhone-Alpes / CLUSES				
hCoV-19/France/ARA-HCL021111718901/2021	EPI_ISL_2676761	2021-06-14	Europe / France / Auvergne-Rhone-Alpes / CLUSES				
hCoV-19/France/ARA-HCL021111733201/2021	EPI_ISL_2676765	2021-06-14	Europe / France / Auvergne-Rhone-Alpes / CLUSES				
hCoV-19/Belgium/ULG-16502/2021	EPI_ISL_2685881	2021-06-03	Europe / Belgium / Liege				
hCoV-19/Switzerland/VD-CHUV-GEN5425/2021	EPI_ISL_2686828	2021-06-16	Europe / Switzerland / Vaud				
hCoV-19/France/NOR-11615376/2021	EPI_ISL_2688650	2021-04-19	Europe / France / Normandie				
hCoV-19/France/NOR-11635690/2021	EPI_ISL_2688652	2021-04-09	Europe / France / Normandie				
hCoV-19/France/NOR-11645459/2021	EPI_ISL_2688653	2021-04-22	Europe / France / Normandie				
hCoV-19/France/NOR-11816013/2021	EPI_ISL_2688663	2021-05-03	Europe / France / Normandie				
hCoV-19/France/NOR-76061751/2021	EPI_ISL_2688698	2021-05-14	Europe / France / Normandie				
hCoV-19/France/NOR-76350913/2021	EPI_ISL_2688759	2021-04-18	Europe / France / Normandie				
hCoV-19/France/NOR-76350931/2021	EPI_ISL_2688760	2021-04-18	Europe / France / Normandie				
hCoV-19/France/NOR-76351534/2021	EPI_ISL_2688761	2021-04-20	Europe / France / Normandie				
hCoV-19/France/NOR-76351595/2021	EPI_ISL_2688762	2021-04-20	Europe / France / Normandie				
hCoV-19/France/NOR-76366244/2021	EPI_ISL_2688785	2021-05-14	Europe / France / Normandie				
hCoV-19/France/NOR-76366318/2021	EPI_ISL_2688786	2021-05-14	Europe / France / Normandie				
hCoV-19/Germany/HH-p7273/2021	EPI_ISL_2689476	2021-06-04	Europe / Germany / Hamburg				
hCoV-19/Lithuania/LTU000_REZUS_06_03_70/2021	EPI_ISL_2693984	2021-06-03	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_REZUS_06_02_46/2021	EPI_ISL_2694022	2021-06-02	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_RSL_COV075397/2021	EPI_ISL_2694039	2021-06-02	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_RSL_11244067/2021	EPI_ISL_2694040	2021-06-04	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_RSL_COV075644/2021	EPI_ISL_2694071	2021-06-03	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_INMEDICA_464843/2021	EPI_ISL_2694106	2021-06-01	Europe / Lithuania / Utenos apskritis				
hCoV-19/Lithuania/LTU000_RSL_11244072/2021	EPI_ISL_2694533	2021-06-04	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_REZUS_06_04_9/2021	EPI_ISL_2694542	2021-06-04	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_REZUS_06_05_50/2021	EPI_ISL_2694563	2021-06-05	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_REZUS_06_05_A147/2021	EPI_ISL_2694564	2021-06-05	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/LTU000_REZUS_06_02_47/2021	EPI_ISL_2694565	2021-06-02	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_MP_FP13/2021	EPI_ISL_2694566	2021-06-04	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/LTU000_NMRVI_123767/2021	EPI_ISL_2694567	2021-06-01	Europe / Lithuania / Vilniaus apskritis				
hCoV-19/Lithuania/LTU000_BM_32A/2021	EPI_ISL_2694568	2021-06-01	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_NMRVI_123158/2021	EPI_ISL_2694569	2021-05-31	Europe / Lithuania / Vilniaus apskritis				
hCoV-19/Lithuania/LTU000_MP_VA18p/2021	EPI_ISL_2694570	2021-06-01	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/LTU000_MP_VA41p/2021	EPI_ISL_2694571	2021-06-01	Europe / Lithuania / Vilniaus apskritis				
hCoV-19/Lithuania/LTU000_MP_WM69p/2021	EPI_ISL_2694572	2021-05-31	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/LTU000_RSL_COV075396/2021	EPI_ISL_2694573	2021-06-02	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_REZUS_06_03_31/2021	EPI_ISL_2694575	2021-06-03	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_NMRVI_125878/2021	EPI_ISL_2694576	2021-06-05	Europe / Lithuania / Vilniaus apskritis				
hCoV-19/Lithuania/LTU000_MP_FP17/2021	EPI_ISL_2694577	2021-06-04	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/LTU000_INMEDICA_475246/2021	EPI_ISL_2694578	2021-06-05	Europe / Lithuania / Utenos apskritis				
hCoV-19/South Korea/KDCA4630/2021	EPI_ISL_2710384	2021-04-24	Asia / South Korea				
hCoV-19/South Korea/KDCA4631/2021	EPI_ISL_2710385	2021-04-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4632/2021	EPI_ISL_2710386	2021-04-29	Asia / South Korea				
hCoV-19/South Korea/KDCA4634/2021	EPI_ISL_2710387	2021-05-02	Asia / South Korea				
hCoV-19/South Korea/KDCA4635/2021	EPI_ISL_2710388	2021-05-04	Asia / South Korea				
hCoV-19/South Korea/KDCA4636/2021	EPI_ISL_2710389	2021-05-05	Asia / South Korea				
hCoV-19/South Korea/KDCA4637/2021	EPI_ISL_2710390	2021-05-05	Asia / South Korea				
hCoV-19/South Korea/KDCA4639/2021	EPI_ISL_2710391	2021-05-06	Asia / South Korea				
hCoV-19/South Korea/KDCA4640/2021	EPI_ISL_2710392	2021-05-06	Asia / South Korea				
hCoV-19/South Korea/KDCA4641/2021	EPI_ISL_2710393	2021-05-08	Asia / South Korea				
hCoV-19/South Korea/KDCA4642/2021	EPI_ISL_2710394	2021-05-09	Asia / South Korea				
hCoV-19/South Korea/KDCA4643/2021	EPI_ISL_2710395	2021-05-10	Asia / South Korea				
hCoV-19/South Korea/KDCA4644/2021	EPI_ISL_2710396	2021-05-10	Asia / South Korea				
hCoV-19/South Korea/KDCA4646/2021	EPI_ISL_2710397	2021-05-12	Asia / South Korea				
hCoV-19/South Korea/KDCA4647/2021	EPI_ISL_2710398	2021-05-13	Asia / South Korea				
hCoV-19/South Korea/KDCA4648/2021	EPI_ISL_2710399	2021-05-12	Asia / South Korea				
hCoV-19/South Korea/KDCA4649/2021	EPI_ISL_2710400	2021-05-13	Asia / South Korea				
hCoV-19/South Korea/KDCA4650/2021	EPI_ISL_2710401	2021-05-12	Asia / South Korea				
hCoV-19/South Korea/KDCA4653/2021	EPI_ISL_2710402	2021-05-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4654/2021	EPI_ISL_2710403	2021-05-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4657/2021	EPI_ISL_2710404	2021-05-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4659/2021	EPI_ISL_2710405	2021-05-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4660/2021	EPI_ISL_2710406	2021-05-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4661/2021	EPI_ISL_2710407	2021-05-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4662/2021	EPI_ISL_2710408	2021-05-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4664/2021	EPI_ISL_2710409	2021-05-17	Asia / South Korea				
hCoV-19/South Korea/KDCA4665/2021	EPI_ISL_2710410	2021-05-17	Asia / South Korea				
hCoV-19/South Korea/KDCA4666/2021	EPI_ISL_2710411	2021-05-17	Asia / South Korea				
hCoV-19/South Korea/KDCA4668/2021	EPI_ISL_2710412	2021-05-18	Asia / South Korea				
hCoV-19/South Korea/KDCA4670/2021	EPI_ISL_2710413	2021-05-18	Asia / South Korea				
hCoV-19/South Korea/KDCA4671/2021	EPI_ISL_2710414	2021-05-17	Asia / South Korea				
hCoV-19/South Korea/KDCA4672/2021	EPI_ISL_2710415	2021-05-19	Asia / South Korea				
hCoV-19/South Korea/KDCA4673/2021	EPI_ISL_2710416	2021-05-18	Asia / South Korea				
hCoV-19/South Korea/KDCA4674/2021	EPI_ISL_2710417	2021-05-18	Asia / South Korea				
hCoV-19/South Korea/KDCA4675/2021	EPI_ISL_2710418	2021-05-19	Asia / South Korea				
hCoV-19/South Korea/KDCA4676/2021	EPI_ISL_2710419	2021-05-19	Asia / South Korea				
hCoV-19/South Korea/KDCA4677/2021	EPI_ISL_2710420	2021-05-18	Asia / South Korea				
hCoV-19/South Korea/KDCA4678/2021	EPI_ISL_2710421	2021-05-19	Asia / South Korea				
hCoV-19/South Korea/KDCA4679/2021	EPI_ISL_2710422	2021-05-20	Asia / South Korea				
hCoV-19/South Korea/KDCA4680/2021	EPI_ISL_2710423	2021-05-20	Asia / South Korea				
hCoV-19/South Korea/KDCA4681/2021	EPI_ISL_2710424	2021-05-20	Asia / South Korea				
hCoV-19/South Korea/KDCA4682/2021	EPI_ISL_2710425	2021-05-20	Asia / South Korea				
hCoV-19/South Korea/KDCA4683/2021	EPI_ISL_2710426	2021-05-19	Asia / South Korea				
hCoV-19/South Korea/KDCA4684/2021	EPI_ISL_2710427	2021-05-20	Asia / South Korea				
hCoV-19/South Korea/KDCA4685/2021	EPI_ISL_2710428	2021-05-20	Asia / South Korea				
hCoV-19/South Korea/KDCA4686/2021	EPI_ISL_2710429	2021-05-20	Asia / South Korea				
hCoV-19/South Korea/KDCA4687/2021	EPI_ISL_2710430	2021-05-21	Asia / South Korea				
hCoV-19/South Korea/KDCA4688/2021	EPI_ISL_2710431	2021-05-21	Asia / South Korea				
hCoV-19/South Korea/KDCA4689/2021	EPI_ISL_2710432	2021-05-21	Asia / South Korea				
hCoV-19/South Korea/KDCA4690/2021	EPI_ISL_2710433	2021-05-22	Asia / South Korea				
hCoV-19/South Korea/KDCA4691/2021	EPI_ISL_2710434	2021-05-22	Asia / South Korea				
hCoV-19/South Korea/KDCA4692/2021	EPI_ISL_2710435	2021-05-21	Asia / South Korea				
hCoV-19/South Korea/KDCA4693/2021	EPI_ISL_2710436	2021-05-22	Asia / South Korea				
hCoV-19/South Korea/KDCA4694/2021	EPI_ISL_2710437	2021-05-22	Asia / South Korea				
hCoV-19/South Korea/KDCA4695/2021	EPI_ISL_2710438	2021-05-22	Asia / South Korea				
hCoV-19/South Korea/KDCA4697/2021	EPI_ISL_2710439	2021-05-23	Asia / South Korea				
hCoV-19/South Korea/KDCA4698/2021	EPI_ISL_2710440	2021-05-23	Asia / South Korea				
hCoV-19/South Korea/KDCA4699/2021	EPI_ISL_2710441	2021-05-23	Asia / South Korea				
hCoV-19/South Korea/KDCA4700/2021	EPI_ISL_2710442	2021-05-24	Asia / South Korea				
hCoV-19/South Korea/KDCA4701/2021	EPI_ISL_2710443	2021-05-23	Asia / South Korea				
hCoV-19/South Korea/KDCA4702/2021	EPI_ISL_2710444	2021-05-23	Asia / South Korea				
hCoV-19/South Korea/KDCA4703/2021	EPI_ISL_2710445	2021-05-24	Asia / South Korea				
hCoV-19/South Korea/KDCA4705/2021	EPI_ISL_2710446	2021-05-25	Asia / South Korea				
hCoV-19/South Korea/KDCA4706/2021	EPI_ISL_2710447	2021-05-25	Asia / South Korea				
hCoV-19/South Korea/KDCA4707/2021	EPI_ISL_2710448	2021-05-25	Asia / South Korea				
hCoV-19/South Korea/KDCA4708/2021	EPI_ISL_2710449	2021-05-25	Asia / South Korea				
hCoV-19/South Korea/KDCA4709/2021	EPI_ISL_2710450	2021-05-25	Asia / South Korea				
hCoV-19/South Korea/KDCA4710/2021	EPI_ISL_2710451	2021-05-25	Asia / South Korea				
hCoV-19/South Korea/KDCA4711/2021	EPI_ISL_2710452	2021-05-25	Asia / South Korea				
hCoV-19/South Korea/KDCA4712/2021	EPI_ISL_2710453	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4713/2021	EPI_ISL_2710454	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4714/2021	EPI_ISL_2710455	2021-05-25	Asia / South Korea				
hCoV-19/South Korea/KDCA4716/2021	EPI_ISL_2710456	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4717/2021	EPI_ISL_2710457	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4718/2021	EPI_ISL_2710458	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4720/2021	EPI_ISL_2710459	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4721/2021	EPI_ISL_2710460	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4722/2021	EPI_ISL_2710461	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4723/2021	EPI_ISL_2710462	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4724/2021	EPI_ISL_2710463	2021-05-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4725/2021	EPI_ISL_2710464	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4726/2021	EPI_ISL_2710465	2021-05-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4727/2021	EPI_ISL_2710466	2021-05-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4728/2021	EPI_ISL_2710467	2021-05-28	Asia / South Korea				
hCoV-19/South Korea/KDCA4730/2021	EPI_ISL_2710468	2021-05-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4731/2021	EPI_ISL_2710469	2021-05-28	Asia / South Korea				
hCoV-19/South Korea/KDCA4733/2021	EPI_ISL_2710470	2021-05-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4734/2021	EPI_ISL_2710471	2021-05-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4735/2021	EPI_ISL_2710472	2021-05-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4736/2021	EPI_ISL_2710473	2021-05-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4737/2021	EPI_ISL_2710474	2021-05-28	Asia / South Korea				
hCoV-19/South Korea/KDCA4739/2021	EPI_ISL_2710475	2021-05-29	Asia / South Korea				
hCoV-19/South Korea/KDCA4741/2021	EPI_ISL_2710476	2021-05-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4742/2021	EPI_ISL_2710477	2021-05-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4743/2021	EPI_ISL_2710478	2021-05-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4744/2021	EPI_ISL_2710479	2021-05-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4745/2021	EPI_ISL_2710480	2021-05-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4746/2021	EPI_ISL_2710481	2021-05-29	Asia / South Korea				
hCoV-19/South Korea/KDCA4747/2021	EPI_ISL_2710482	2021-05-29	Asia / South Korea				
hCoV-19/South Korea/KDCA4748/2021	EPI_ISL_2710483	2021-05-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4749/2021	EPI_ISL_2710484	2021-05-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4750/2021	EPI_ISL_2710485	2021-05-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4751/2021	EPI_ISL_2710486	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4752/2021	EPI_ISL_2710487	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4753/2021	EPI_ISL_2710488	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4755/2021	EPI_ISL_2710490	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4756/2021	EPI_ISL_2710491	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4757/2021	EPI_ISL_2710492	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4758/2021	EPI_ISL_2710493	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4759/2021	EPI_ISL_2710494	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4760/2021	EPI_ISL_2710495	2021-06-01	Asia / South Korea				
hCoV-19/South Korea/KDCA4761/2021	EPI_ISL_2710496	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4762/2021	EPI_ISL_2710497	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4763/2021	EPI_ISL_2710498	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4764/2021	EPI_ISL_2710499	2021-05-31	Asia / South Korea				
hCoV-19/South Korea/KDCA4765/2021	EPI_ISL_2710500	2021-06-01	Asia / South Korea				
hCoV-19/South Korea/KDCA4766/2021	EPI_ISL_2710501	2021-06-01	Asia / South Korea				
hCoV-19/South Korea/KDCA4767/2021	EPI_ISL_2710502	2021-06-01	Asia / South Korea				
hCoV-19/South Korea/KDCA4768/2021	EPI_ISL_2710503	2021-06-01	Asia / South Korea				
hCoV-19/South Korea/KDCA4769/2021	EPI_ISL_2710504	2021-06-01	Asia / South Korea				
hCoV-19/South Korea/KDCA4770/2021	EPI_ISL_2710505	2021-06-01	Asia / South Korea				
hCoV-19/South Korea/KDCA4772/2021	EPI_ISL_2710507	2021-06-02	Asia / South Korea				
hCoV-19/South Korea/KDCA4773/2021	EPI_ISL_2710508	2021-06-02	Asia / South Korea				
hCoV-19/South Korea/KDCA4774/2021	EPI_ISL_2710509	2021-06-01	Asia / South Korea				
hCoV-19/South Korea/KDCA4775/2021	EPI_ISL_2710510	2021-06-02	Asia / South Korea				
hCoV-19/South Korea/KDCA4778/2021	EPI_ISL_2710512	2021-06-02	Asia / South Korea				
hCoV-19/South Korea/KDCA4779/2021	EPI_ISL_2710513	2021-06-02	Asia / South Korea				
hCoV-19/South Korea/KDCA4781/2021	EPI_ISL_2710514	2021-06-02	Asia / South Korea				
hCoV-19/South Korea/KDCA4782/2021	EPI_ISL_2710515	2021-06-02	Asia / South Korea				
hCoV-19/South Korea/KDCA4783/2021	EPI_ISL_2710516	2021-06-03	Asia / South Korea				
hCoV-19/South Korea/KDCA4785/2021	EPI_ISL_2710518	2021-06-03	Asia / South Korea				
hCoV-19/South Korea/KDCA4786/2021	EPI_ISL_2710519	2021-06-03	Asia / South Korea				
hCoV-19/South Korea/KDCA4789/2021	EPI_ISL_2710521	2021-06-04	Asia / South Korea				
hCoV-19/South Korea/KDCA4790/2021	EPI_ISL_2710522	2021-06-03	Asia / South Korea				
hCoV-19/South Korea/KDCA4792/2021	EPI_ISL_2710523	2021-06-04	Asia / South Korea				
hCoV-19/South Korea/KDCA4793/2021	EPI_ISL_2710524	2021-06-05	Asia / South Korea				
hCoV-19/South Korea/KDCA4794/2021	EPI_ISL_2710525	2021-06-04	Asia / South Korea				
hCoV-19/South Korea/KDCA4795/2021	EPI_ISL_2710526	2021-06-06	Asia / South Korea				
hCoV-19/South Korea/KDCA4797/2021	EPI_ISL_2710528	2021-06-05	Asia / South Korea				
hCoV-19/South Korea/KDCA4798/2021	EPI_ISL_2710529	2021-06-06	Asia / South Korea				
hCoV-19/South Korea/KDCA4799/2021	EPI_ISL_2710530	2021-06-07	Asia / South Korea				
hCoV-19/South Korea/KDCA4800/2021	EPI_ISL_2710531	2021-06-07	Asia / South Korea				
hCoV-19/South Korea/KDCA4803/2021	EPI_ISL_2710534	2021-06-07	Asia / South Korea				
hCoV-19/South Korea/KDCA4804/2021	EPI_ISL_2710535	2021-06-07	Asia / South Korea				
hCoV-19/South Korea/KDCA4805/2021	EPI_ISL_2710536	2021-06-08	Asia / South Korea				
hCoV-19/South Korea/KDCA4806/2021	EPI_ISL_2710537	2021-06-08	Asia / South Korea				
hCoV-19/South Korea/KDCA4807/2021	EPI_ISL_2710538	2021-06-09	Asia / South Korea				
hCoV-19/South Korea/KDCA4808/2021	EPI_ISL_2710539	2021-06-09	Asia / South Korea				
hCoV-19/South Korea/KDCA4809/2021	EPI_ISL_2710540	2021-06-09	Asia / South Korea				
hCoV-19/South Korea/KDCA4810/2021	EPI_ISL_2710541	2021-06-09	Asia / South Korea				
hCoV-19/South Korea/KDCA4811/2021	EPI_ISL_2710542	2021-06-08	Asia / South Korea				
hCoV-19/South Korea/KDCA4812/2021	EPI_ISL_2710543	2021-06-09	Asia / South Korea				
hCoV-19/South Korea/KDCA4814/2021	EPI_ISL_2710544	2021-06-11	Asia / South Korea				
hCoV-19/South Korea/KDCA4816/2021	EPI_ISL_2710545	2021-06-12	Asia / South Korea				
hCoV-19/South Korea/KDCA4817/2021	EPI_ISL_2710546	2021-06-13	Asia / South Korea				
hCoV-19/South Korea/KDCA4818/2021	EPI_ISL_2710547	2021-06-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4821/2021	EPI_ISL_2710548	2021-06-14	Asia / South Korea				
hCoV-19/South Korea/KDCA4822/2021	EPI_ISL_2710549	2021-06-15	Asia / South Korea				
hCoV-19/Belgium/rega-9607/2021	EPI_ISL_2725686	2021-05-14	Europe / Belgium / Schaarbeek				
hCoV-19/Belgium/rega-8902/2021	EPI_ISL_2726487	2021-05-08	Europe / Belgium / Jette				
hCoV-19/Switzerland/VS-ICH-2210635684/2021	EPI_ISL_2731292	2021-06-16	Europe / Switzerland / Valais				
hCoV-19/England/PHEC-311DD5/2021	EPI_ISL_2743137	2021	Europe / United Kingdom / England				
hCoV-19/Northern Ireland/PHEC-L304LD5D/2021	EPI_ISL_2749028	2021	Europe / United Kingdom / Northern Ireland				
hCoV-19/England/PHEC-L306LA36/2021	EPI_ISL_2749123	2021	Europe / United Kingdom / England				
hCoV-19/South Korea/KDCA5183/2021	EPI_ISL_2754641	2021-06-05	Asia / South Korea				
hCoV-19/USA/IL-RIPHL_60039_G/2021	EPI_ISL_2758248	2021-05-14	North America / USA / Illinois / Chicago				
hCoV-19/Germany/HB-RKI-I-183555/2021	EPI_ISL_2762006	2021-06-23	Europe / Germany / Bremen				
hCoV-19/Germany/HB-RKI-I-183606/2021	EPI_ISL_2762053	2021-06-23	Europe / Germany / Bremen				
hCoV-19/Germany/HB-RKI-I-183641/2021	EPI_ISL_2762085	2021-06-23	Europe / Germany / Bremen				
hCoV-19/France/NOR-11655493/2021	EPI_ISL_2769380	2021-04-23	Europe / France / Normandie				
hCoV-19/India/TG-CCMB-CIA5106/2021	EPI_ISL_2774699	2021-06-10	Asia / India / Telangana / Hyderabad				
hCoV-19/France/BRE-IPP14418/2021	EPI_ISL_2790921	2021-06-05	Europe / France / Bretagne / Chateaulin				
hCoV-19/France/BRE-IPP14420/2021	EPI_ISL_2790922	2021-06-07	Europe / France / Bretagne / Chateaulin				
hCoV-19/France/BRE-IPP14421/2021	EPI_ISL_2790923	2021-06-08	Europe / France / Bretagne / Chateaulin				
hCoV-19/France/BFC-HMN-21062180206/2021	EPI_ISL_2791285	2021-05-22	Europe / France / Bourgogne-Franche-Comte				
